form	count	children	category	sample_context	spanish
batido	1	Yeseña(1)		batido.	batido (pan).
preciosa	1	Yeseña(1)		ix preciosa.	la preciosa.
ton	1	Yeseña(1)		icha ton chi'.	eso.
nib'ej	1	Yeseña(1)		tzachin nib'ej.	quiero.
yelxo	1	Yeseña(1)		yelxo k'olal.	mucho.
koyamlaj	1	Yeseña(1)		weno manh ol koyamlaj.	bueno no lo vamos ha tocar.
masanil	1	Yeseña(1)		masanil.	todo.
ocho	1	Yeseña(1)		wil Chavo del Ocho.	voy ha ver Chavo del ocho.
hinmanasan	1	Yeseña(1)		hakot hinmanasan.	damelo mi manzana.
kuchulub'	1	Yeseña(1)		kuchulub'.	cuchillo.
kitaj	1	Yeseña(1)		han  kitaj.	nuestra hierva.
wayi	1	Yeseña(1)		tzon wayi.	vamos ha dormir.
kanh	1	Yeseña(1)		kanh.	nuestra planta, (hierva).
kochay	1	Yeseña(1)		nok' kochay.	nuestro pescado.
ok'	1	Yeseña(1)		ni' t'a ok'.	ve allí en tus pies.
kok'enchen	1	Yeseña(1)		kok'enchen ni'.	nuestra olla metal ve.
b'atin	1	Yeseña(1)		b'atin cha'a'.	voy ir ha traerlo.
cha'a'	1	Yeseña(1)		b'atin cha'a'.	voy ir ha traerlo.
kotek	1	Yeseña(1)		kotek.	nuestra comida.
tzuk'	1	Yeseña(1)		tzuk' hanhb'al.	tomas tu medicina.
konun	1	Yeseña(1)		nulej ix konun chi' jun.	hermana nuestra madre pues.
xaltenh	1	Yeseña(1)		xaltenh.	sartén.
ak'jun	1	Yeseña(1)		Ewin ak'jun hin mansan.	E dame una manzana.
tzinway	1	Yeseña(1)		tzinway ha'in tik.	yo voy ha dormir.
chekan	1	Yeseña(1)		mach chekan o ha'lak'an.	eso le pasa por.
ha'lak'an	1	Yeseña(1)		mach chekan o ha'lak'an.	eso le pasa por.
xila	1	Yeseña(1)		yune' xila.	pequeña silla.
nen'e'	1	Yeseña(1)		nen'e'.	bebe o nene.
sonok'	1	Yeseña(1)		sonok'.	nido de animales.
konholob'	1	Yeseña(1)		konholob'.	nuestro huevo.
tzoch	1	Yeseña(1)		tzoch ko'och.	vamos ha tortear (tortillas).
yo'och	1	Yeseña(1)		yo'och.	su tortilla.
snholob'	1	Yeseña(1)		nok' snholob' ix Yadira.	el huevo de Yadira.
hihi	1	Yeseña(1)		hihi ni' ix Yadira.	¡eh! mira ha Yadira.
chine'ik'	1	Yeseña(1)		chine'ik'.	ahora mismo.
luchil	1	Yeseña(1)		luchil tek.	cucharra.
allí	1	Yeseña(1)		ten o tenga allí.	ni' t'ay.
nuestro	1	Yeseña(1)		nuestro medicamento.	kanhb'al.
que	1	Yeseña(1)		es que lo va ha tomar.	to syuk'ej.
lo	1	Yeseña(1)		es que lo va ha tomar.	to syuk'ej.
tomar	1	Yeseña(1)		es que lo va ha tomar.	to syuk'ej.
viene	1	Yeseña(1)		se viene nuetro medicamento.	skot' kanhb'al.
nuetro	1	Yeseña(1)		se viene nuetro medicamento.	skot' kanhb'al.
nos	1	Yeseña(1)		nos dormimos.	konh wayi.
dormimos	1	Yeseña(1)		nos dormimos.	konh wayi.
tu	1	Yeseña(1)		donde está tu corral.	b'ajay hamakte'.
deja	1	Yeseña(1)		deja en mi lado.	ak'em t'a hintzeya'.
lado	1	Yeseña(1)		deja en mi lado.	ak'em t'a hintzeya'.
tengo	1	Yeseña(1)		no tengo comida.	malaj hintek.
ven	1	Yeseña(1)		ven o vení.	lem.
vení	1	Yeseña(1)		ven o vení.	lem.
tía	1	Yeseña(1)		tía.	ix wicham.
usted	1	Yeseña(1)		es usted.	ha'ach.
ser	1	Yeseña(1)		si va ha ser E.	i' ha' ix Ewin.
otro	1	Yeseña(1)		otro.	junxo.
regresaste	1	Yeseña(1)		E regresaste.	Ewin ixach jaxi.
trasero	1	Yeseña(1)		trasero (nalgas).	yo'op.
nalgas	1	Yeseña(1)		trasero (nalgas).	yo'op.
cabeza	1	Yeseña(1)		mi cabeza.	hinjolom.
nariz	1	Yeseña(1)		mi nariz.	hinhi'.
boca	1	Yeseña(1)		mi boca.	hinti'.
ojos	1	Yeseña(1)		mis ojos.	yol hinsat.
éstas	1	Yeseña(1)		donde éstas.	b'ajay hach.
mano	1	Yeseña(1)		mi mano.	hink'ab'.
estomago	1	Yeseña(1)		en mi estomago (panza).	t'a snhi' hinko'ol.
panza	1	Yeseña(1)		en mi estomago (panza).	t'a snhi' hinko'ol.
maría	1	Yeseña(1)		la nena de María.	ix nene' ix Tatey (Malin).
carlos	1	Yeseña(1)		he Carlos.	winhaj Karlos.
aldea	1	Yeseña(1)		en la Aldea Yolonhte'.	ta' Yolonhte'.
gancho	1	Yeseña(1)		mi gancho.	k'en hingancho.
ve	1	Yeseña(1)		ve mis orejas.	ni' hinchikin.
orejas	1	Yeseña(1)		ve mis orejas.	ni' hinchikin.
camisa	1	Yeseña(1)		la gorra de mi camisa.	swonital hinkamix.
lópez	1	Yeseña(1)		M López.	Mat Lopis.
hayek'	1	Yeseña(1)		hayek' ix t'a Yulch'en.	ella se encuentra en Yulch'en.
xantex	1	Yeseña(1)		Malin Xantex.	María.
hixin	1	Yeseña(1)		hixin nun chichim.	mi abuelita.
munlajel	1	Yeseña(1)		ix b'at ix munlajel.	ella se fue a trabajar.
lucía	1	Yeseña(1)		Lucía.	Lucía.
ajpe	1	Yeseña(1)		ajpe ay ixa Lucia.	saber donde esta tú Lucia.
lucia	1	Yeseña(1)		ajpe ay ixa Lucia.	saber donde esta tú Lucia.
mata	1	Yeseña(1)		mata ix Ewin sjawi.	no ha llegado E todavia.
kob'ikel	1	Yeseña(1)		kob'ikel kuk'ab'.	vamos a lavar nuestros platos.
kuk'ab'	1	Yeseña(1)		kob'ikel kuk'ab'.	vamos a lavar nuestros platos.
xuma'ak	1	Yeseña(1)		xuma'ak.	flor o rosa.
hatas	1	Yeseña(1)		hatas jun hinb'ika'.	era eso que yo lavé.
hinb'ika'	1	Yeseña(1)		hatas jun hinb'ika'.	era eso que yo lavé.
pe	1	Yeseña(1)		pe.	pe.
tzinach	1	Yeseña(1)		hab'i tzinach Lusin.	oí, silencio Lucía.
xchumama'	1	Yeseña(1)		xchumama'.	dejalo.
syak'	1	Yeseña(1)		tas syak' ix Katal t'ayach.	que es lo que Catarina te dá.
t'ayach	1	Yeseña(1)		tas syak' ix Katal t'ayach.	que es lo que Catarina te dá.
tatey	1	Yeseña(1)		ix yune' ix Malin Tatey.	la hija de María.
hawajanh	1	Yeseña(1)		hawajanh.	llama pues.
hex	1	Yeseña(1)		wik' hex.	son míos.
sik'b'at	1	Yeseña(1)		/sik'b'at /kowa'el tik.	guarda nuestro comida.
kowa'el	1	Yeseña(1)		/sik'b'at /kowa'el tik.	guarda nuestro comida.
tanhwejb'el	1	Yeseña(1)		/tanhwejb'el.	espera.
tzawtej	1	Yeseña(1)		ha ix Yadira tzawtej.	a Yadira la estas llamando.
wuka'b'	1	Yeseña(1)		wuka'b'.	mi plato.
hukak'ab'	1	Yeseña(1)		ikot hukak'ab'.	traíga tú plato.
yujwal	1	Yeseña(1)		yujwal yos.	gracias.
yos	1	Yeseña(1)		yujwal yos.	gracias.
yuk'	1	Yeseña(1)		s/yuk' yuk'em nok'.	toma su atol el animal.
yuk'em	1	Yeseña(1)		s/yuk' yuk'em nok'.	toma su atol el animal.
kik'an	1	Yeseña(1)		hato kik'an.	hasta mañana.
hate'	1	Yeseña(1)		ni te' hate'.	ten tú palo.
siete	1	Yeseña(1)		siete, (huke').	siete.
norte	1	Yeseña(1)		norte.	norte (EE.UU)
ayto	1	Yeseña(1)		/ayto ko'och.	tenemos tortillas todavia.
papito	1	Yeseña(1)		papito.	papito.
hata	1	Yeseña(1)		hata tik t'a xela.	fue allí en Xela.
meslab'	1	Yeseña(1)		meslab'.	escoba.
skan	1	Yeseña(1)		skan ix.	se queda ella.
chukin	1	Yeseña(1)		chukin ha'in tik.	yo soy mala.
kik	1	Yeseña(1)		kik te' pat.	la casa es nuestra.
ilmab'i	1	Yeseña(1)		ilmab'i.	observa.
skutej	1	Yeseña(1)		skutej.	lo hagamos.
yel	1	Yeseña(1)		wan yel yik ix.	se ésta saliendo la de ella.
ha'anh	1	Yeseña(1)		ha'anh is.	es la papa.
skal	1	Yeseña(1)		skal aseyte.	entre aceite.
lajwi	1	Yeseña(1)		lajwi.	termino.
tz'atab'at	1	Yeseña(1)		tz'atab'at anh.	que no se vaya a quemar (la papa).
tz'ab'at	1	Yeseña(1)		tz'ab'at te'.	se quema (se refiere a un palo)
yo'op	1	Yeseña(1)		yo'op.	nalgas o trasero.
chawo	1	Yeseña(1)		chawo.	chavo.
yego	1	Yeseña(1)		yego (Yakin)	D.
yakin	1	Yeseña(1)		yego (Yakin)	D.
maria	1	Yeseña(1)		maria.	María.
vine	1	Yeseña(1)		vine t'ay.	vine en.
wasura	1	Yeseña(1)		wasura (mik).	basura.
kokuchara	1	Yeseña(1)		k'en kokuchara.	nuestra cucharra.
niwak	1	Yeseña(1)		icha nok' niwak nono'.	es como los monstros grandes.
yolchanh	1	Yeseña(1)		hi' yolchanh.	
schumama'	1	Yeseña(1)		schumama'.	
takok	1	Yeseña(1)		takok.	secarse.
lokan	1	Yeseña(1)		lokan k'apak.	colgarla (ropa)
marta	1	Yeseña(1)		marta ayek'i.	esta  Marta.
ayek'i	1	Yeseña(1)		marta ayek'i.	esta  Marta.
dulse	1	Yeseña(1)		dulse.	dulce.
ek'anh	1	Yeseña(1)		ek'anh jichan.	acostate.
b'oxi	1	Yeseña(1)		b'oxi.	recuperas.
ixon	1	Yeseña(1)		to ixon meswi.	es que barrimos.
meswi	1	Yeseña(1)		to ixon meswi.	es que barrimos.
karlo	1	Yeseña(1)		karlo.	C.
hintete'	1	Yeseña(1)		¡hi!, ni hintete'.	¡ih!, ten mi juguete.
quiero	1	Yeseña(1)		te quiero mucho.	te quiero mucho.
mucho	1	Yeseña(1)		te quiero mucho.	te quiero mucho.
chanhal	1	Yeseña(1)		/chanhal.	baile.
ochanhkoti	1	Yeseña(1)		/ochanhkoti.	entra.
memeyo	1	Yeseña(1)		memeyo.	medicina.
pacha	1	Yeseña(1)		pacha.	biberón.
b'ika'	1	Yeseña(1)		/b'ika'.	lava.
ek'	1	Yeseña(1)		ol ek' remeyo t'ayex.	les va ha pasar medicina.
t'ayex	1	Yeseña(1)		ol ek' remeyo t'ayex.	les va ha pasar medicina.
ya'k'ol	1	Yeseña(1)		ya'k'ol mis.	dolor de estomago gato.
pitz	1	Yeseña(1)		pitz ix nene'.	desperta la nena.
sti'	1	Yeseña(1)		yol sti' ix.	en la boca de ella.
chamok	1	Yeseña(1)		/chamok.	morir.
cham	1	Yeseña(1)		/cham nene'.	muere nena.
w	1	Yeseña(1)		w/ikot t'e kokatzitz.	voy a traer nuestras leñas.
t'e	1	Yeseña(1)		w/ikot t'e kokatzitz.	voy a traer nuestras leñas.
sko	1	Yeseña(1)		to sko/b'o te' kopat.	es que vamos a hacer nuestra casa.
kochixi	1	Yeseña(1)		hanok' ol /kochixi.	es lo que vamos a comer de nuevo.
wutej	1	Yeseña(1)		wutej nok'.	lo voy hacer.
junhej	1	Yeseña(1)		junhej rato.	es de un rato nomás.
kito	1	Yeseña(1)		kito chi'.	traíga eso.
mariya	1	Yeseña(1)		mariya.	María.
k'ikanh	1	Yeseña(1)		k'ikanh.	mañana.
hatzun	1	Yeseña(1)		hatzun.	es un.
jawi	1	Yeseña(1)		s/jawi.	viene.
waso	1	Yeseña(1)		waso L.	vaso A.
mero	1	Yeseña(1)		mero.	mero.
pap	1	Yeseña(1)		pap.	pap.
ayum	1	Yeseña(1)		ayum payu.	ayum payu.
payu	1	Yeseña(1)		ayum payu.	ayum payu.
tulumpu	1	Yeseña(1)		ini tulumpu.	ve trompo.
pawo	1	Yeseña(1)		pawo.	pavo.
sja	1	Yeseña(1)		sja winh papa.	viene el papá.
